system:index,latitude,longitude,nd,.geo
37_0,24.612491311948713,46.78830241572322,0.025891809,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.78830241572322,24.612491311948713]}"
38_0,24.71040767791774,46.69218268032243,0.0737557,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.69218268032243,24.71040767791774]}"
39_0,24.65650876087057,46.865557530157496,0.22114551,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.865557530157496,24.65650876087057]}"
40_0,24.583745222856887,46.74967485850608,0.073382325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.74967485850608,24.583745222856887]}"
41_0,24.977207317301236,46.756861380779036,0.0945165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.756861380779036,24.977207317301236]}"
42_0,24.629559302346983,46.56462190997746,0.041411534,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.56462190997746,24.629559302346983]}"
43_0,24.54062608921915,46.52779098332856,0.15753734,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.52779098332856,24.54062608921915]}"
44_0,24.96912247974416,46.86465921487338,0.07753839,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.86465921487338,24.96912247974416]}"
45_0,24.582846907572765,46.53048592918092,0.042342816,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.53048592918092,24.582846907572765]}"
46_0,24.873901059627492,46.62121577287699,0.05263936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.62121577287699,24.873901059627492]}"
47_0,24.902647148719318,46.85837100788454,0.0525161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.85837100788454,24.902647148719318]}"
48_0,24.89635894173048,46.97694862538832,0.063113414,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.97694862538832,24.89635894173048]}"
49_0,24.612491311948713,46.59157136850104,0.050269198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.59157136850104,24.612491311948713]}"
